,Stim
965,الحمد للہ ہم بھی بخیر ہیں لیکن بہت مصروف
966,اس خط کے نمونہ جات یہاں ملاحظہ ہوں
967,ہماری طرف سے اس کیک پر گزارا کر لیجئے
968,یہ دونوں اڈے بدستور امریکہ کے پاس ہیں
969,اک تو چھوڑ دیا کرتا ہوں ادھورا بھی
970,آتش دان کا بت صفحہ 86 - 87
971,کالے ڈبوں کے درمیان گرے نقطے موجود نہیں ہیں
972,تم تو وفا کی بندشیں توڑے چلے گئے
973,میں اس کو چاہتی ہوں یہ میرا قصور ہے
974,ج عوامی حقوق اور شہری آزادیوں کا تصور
975,انہوں نے کہا نہیں یہ فضول خرچی ہوگی۔
976,قلعے کے تینوں جانب فصیل کے نشانات موجود ہیں۔
977,آم کو پھلوں کا راجا اندر کہا جاتاہے
978,قریش مکہ کو پناہ نہیں دی جائے گی۔
979,جانبر بھی ہوگئے ہیں بہت مجھ سے نیم جان
980,جہان سیر و سفر کے سوا کچھ اور نہیں
981,پڑھنا، باغبانی اور موسیقی ان کے شوق ہیں۔
982,اکبر بھی یقیں ہے کہ ہمیں یاد کریں گے
983,ہاں اس معاملے میں تو میرا قصور تھا
984,یہ چائے خانے میں کیا چل رہا ہے
985,اپنے کیریئر کے 199 ویں ٹیسٹ کے پہلے مزید پڑھیے
986,مملکت نام پہ اسلام کے حاصل جو ہوئی
987,کہاں گرانی ہے برق باد صباح جانتی ہے ۔
988,وسار بھا ریلوے اسٹیشن وسار بھا میں واقع ہے
989,لانڈی کوتل ریلوے اسٹیشن لانڈی کوتل میں واقع ہے
990,لانڈی کوتل ریلوے اسٹیشن پاکستان میں واقع ہے۔
991,سمہسٹہ جنکشن ریلوے اسٹیشن پاکستان میں واقع ہے۔
992,میٹھا لک ریلوے اسٹیشن پاکستان میں واقع ہے۔
993,جلوجو چنرڈ ریلوے اسٹیشن پاکستان میں واقع ہے۔
994,یوں تراشوں گا غزل میں تیرے پیکر کے نقوش
995,جیل خانے بھی ہیں اور گیس کے چیمبر بھی ہیں
996,انسانی کھال کے نیچے چربی کی تہ کا ہونا۔
997,جہاں سے چاہیں گے رستہ وہیں سے نکلے گا
998,میری سالگرہ 13 مارچ کو گزر گئی ہے
999,""""""" اپنا شعار کسی کا یہ قول ہے"""
1000,سر جی اس غزل کو بھی دیکھ لے
1001,اک شخص سارے شہر کو ویران کر گیا
1002,اس فلم کی ہدایت منوج کے سریدھر نے دی۔
1003,خبر نہیں ہے کہ یہ جنگ کون ہارے گا
1004,سلیم اللہ شیخ 17 جولائی سیاسیات ، شہر قائد
1005,حسن کو شوق ہے گر انجمن آرائی کا
1006,جنگ کے بعد مرے شہر میں کیا گزری ہے
1007,کیسی یہ غزل آپ نے بھیجی ہے کہ جس پر
1008,چاہتا ہوں دیکھنا اس کو اسی رنگ میں
1009,الیڈ اور اودیسی کا انگریزی میں ترجمہ کیا۔
1010,جولائی 1908ء میں وطن کے لیے روانہ ہوئے۔
1011,میں عرض کی تھی مجھے معاف ہی رکھیئے
1012,وہ اوسلو معاہدے کے مخالفوں میں سے ایک ہیں۔
1013,بہت بہت مبارک ہو خالد بھائی آپ کو
1014,قدم بڑھیں تو بدل جائے وقت کی رفتار
1015,دنیا کی ہر شے ءمیں ایک تناسب ہے۔
1016,امریکا کے ساتھ پاکستان کے تعلقات میں کشید گی آگئی
1017,اور عثمان بھائی نے بھی خوب مکھن لگایا ہے
1018,تیزی روانش مدارا گزید / دلش رای رزم بخارا گزید
1019,کیلے کے استعمال میں اس کا جوس زیادہ مناسب ہے
1020,فلٹن نیو یارک کا رقبہ مربع کیلومیٹر ہے ہے
1021,یہ حال عاشقوں کا ہے جو زر خرید کا
1022,انسانی ملک یا بیرون ملک اور ممکن ہے۔
1023,اشرف ریاض کے عید کارڈ کے جواب میں
1024,اسی کے نام سے ہر صبح ابتدا کی ہے
1025,دکھ اس سے بھی زیادہ ہیں بے روزگار کے
1026,مگر اس نے صاف انکار کر دیا اور کہا
1027,اکثر مفسرین اس کو مکی قرار دیتے ہیں۔
1028,اگلے لوگوں پر لعنت اور طعن زنی کرے گی
1029,ریاستہائے متحدہ امریکہ کی ریاست لوزیانا کا دارالحکومت ہے
1030,گرا تو کوئی جزیرہ نہ تھا سمندر میں
1031,اگر ہوتا وسیلہ یار تک اپنی رسائی کا
1032,تو تو کس نے کہا تھا بھیا بھیا کی گردان
1033,یعنی خواب دیکھنے کا دوسرا نام ہے یہ
1034,شہر کی ساری گلیاں سونی رستے سب سنسان ہوئے
1035,کیا سے کیا ہوگیا بے وفا تیرے پیار میں
1036,کھلا ماحول وہاں بھی اور اب یہاں بھی
1037,آرٹیکل پوسٹ کرنے کے لیے کونسا ایڈیٹر استعمال کریں
1038,پہلی صدی عیسوی کے چاند گرہنوں کی فہرست
1039,کے ایوان پاکستان کے لیے ایک انتخابی حلقہ ہے
1040,یہ ٹیکسائلز سکندر کے مدد گار ہو گئے تھے۔
1041,کہ ہم میں ضبط کی عادت بہت زیادہ تھی
1042,اس سلسلے کے بانی شیخ احمد الرفاعی ہیں۔
1043,اک شام کی تنہائی ہے اور یہ برسات ہے
1044,2009 میں انہیں وینکٹ رامن رامکرشنن اور تھامس اے۔
1045,میرا خیال ہے وہ لکھنا چاہ ہرے ہوں گے
1046,اس میں جگہ جگہ چوڑی وادیاں موجود ہیں۔
1047,""""""" اب تو عادت سی ہو گئی ہے """""""
1048,میں تجھے پہچاننے کس کس مکاں میں گا
1049,جب زیست وبال ہو تو کیا موت کا غم
1050,چند آزمودہ اور بے ضرر گھریلو طبی نسخے
1051,نہیں نہیں اگر کچھ وضاحت کی ضرورت ہو تو
1052,گیارہ نعرے جنھوں نے چین کو تبدیل کر دیا
1053,اسی لیے تو کہتے ہیں کے دنیا گول ھے
1054,اب میں کیوں تجھ کو یاد کرتا ہوں
1055,آپ نے تو انا کے خلاف بات کر دی
1056,اللہ بخشے میڈم نور جہاں فرمایا کرتی تھیں
1057,گو کہ اوسلو میرے شہر سے قریب ہی ہے
1058,شب گزاری ہو گئی آج دیکھیں کیا ہوتا ہے
1059,مجھے کیا پتہ میں کوئی بڑھیا تھوڑی ہوں
1060,نامی جوان فوج کے عاجز تھے جان سے
1061,اس لئے بہت مزے کے دن گزرتے ہیں
1062,رہ گیا آن کے دامن کے برابر سہرا
1063,ڈاکٹر محمد اسلم فہیم / جولائی 30 ، 2013
1064,مرے لہو کی گواہی مجھے نڈر کر دے
1065,صبر کریں آپکی باری بھی آنے والی ہے
1066,میرے خیال میں کچھ مراسلے اوپر والے پڑھ لیں
1067,جانے کس کا ذکر تھا اس افسانے میں
1068,اللہ کی راہ میں جہاد کرنے والوں پر اور
1069,پچھلی گلی کی نیند سے آتے طبیب خواب کے
1070,جب تمنا تھی کسی کی زلف کے ہوتے اسیر
1071,یہ عجیب وقت تو شعر سے بھی بلند ھے
1072,اردو محفل میں صمیم قلب سے خوش آمدید
1073,سب دوستوں کو اللہ خوش اور آباد رکھے
1074,ع - اے بسا آرزو کہ خاک شدہ
1075,موجودات و مخلوقات کے مختلف اشکال و الوان ہیں۔
1076,اب یہ نہیں کہنا کہ جمعیت والوں کی کاروائی ہے
1077,ابھی تو دل کو اداس کرتی نہیں ہیں شامیں
1078,واللہ مجھے نہیں موصول ہو سکی اب تک
1079,نیرنگ خیال بس اب آپ نہ جائیے گا :
1080,یا شاید چشم گل عرف طوطا چشم سے
1081,زیست مشکل ہے اسے اور بھی مشکل نہ بنا
1082,اس کوں حاصل کیوں کے ہوئے جگ میں فراغ زندگی
1083,پھر یہ مشاعرہ ہے بھلا کس شعار میں
1084,محرابوں کے گرد برجستہ کاری کے چند نمونے ہیں
1085,میں تو ثبوت بھی مہیا کر سکتی ہوں بہنا
1086,خدا کو لے چلیں شہر کے بچوں سے دور
1087,کیا اس کی مجھے پرواہ دشمن جو زمانہ ہے
1088,یہ عمارت بغیر قیمت بیکن کو دے دی گئی
1089,پر بھیا میں ابھی آئی اور آنٹی چلی گئیں
1090,ڈاکٹروں کی ہڑتال پر حکم امتناع سے انکار
1091,سنو ذرا سنو ذرا میں ہے یہ کیسی صدا
1092,آہا اب آئے نہ وارث بھائی میدان میں
1093,یہ صفحہ جولیئن سال 98 کے بارے میں ہے۔
1094,یہ صفحہ جولیئن سال 81 کے بارے میں ہے۔
1095,لہذا اس کے ہاں تلمیحاتی نظام مضبوط ہے۔
1096,ان کا انعقاد ایشیائی اولمپک کونسل کرتی ہے۔
1097,وہ کنول جن کو کبھی ان کے لیے کھلنا تھا
1098,میرے مزاج تو آج ٹھکانے لگنے والے ہیں
1099,بت خانے سے نہ کعبے کو تکلیف دے مجھے
1100,سیرت النبی کے بہت سے ایڈیشن شائع ہوچکے ہیں
1101,بس ان کی ناگہانی موت کا سامان کرتے ہیں
1102,ویسے بھیا کو جرمانہ کر لو چاہو تو
1103,ایام عزا میں مجلس پڑھتے سنا ہے ۔
1104,رات گئے یادوں کے جنگل میں دیوالی ہوتی ہے
1105,اس طرح پاور فیکٹر بہتر ہو جاتا ہے۔
1106,اللہ تعالی آ پکو بہترین جزا سے نوازے آمین
1107,ہم نے بھی تو خود ہی تجربہ کیا تھا
1108,کیوں نہ اب اپنی چوڑیوں کو کرچی کرچی کر ڈالوں
1109,اسی سے بھنگرو کی اصطلاح سامنے آئی ہے۔
1110,لگی دل کی ھم سے کہی جائے نا
1111,میں اس پر دھماکہ دور میں پشاور میں مقیم ہوں
1112,وہ کھلاڑی جنہوں نے سب سے زیادہ دوڑیں کیں
1113,طشتری میں سجا کے کھاتے ھیں یا ایسے ہی
1114,اور آج بھی ان کو ایسا ہی کرنا چاہے
1115,یہ تو اگلوں کے ہاتھ میں ہوتا ہے کنفرم کرنا
1116,بولا اگر تو قند مکرر ہوے وہ لب
1117,دوسرا لڑکا احمد زینت سے چھوٹا تھا ۔
1118,کیوں جنم دیا مجھے میری بے بس مائیں
1119,تابہ اقلیم وجود این ہمہ راہ آمدہ ایم
1120,شمشاد بھائی فلسفے کی کبھی وضاحت بھی ہوئی ہے
1121,اپنی تعلیم جاری رکھی بی اے پاس کیا
1122,پھر تری بے زبانی سے ڈر رہا ہے
1123,اب ایک مثال دے کر وضاحت کرتا ہوں
1124,مجھ کو بھی جیون کے سفر نے توڑ دیا
1125,قانون جیب التمام یہ بھی مقضی کرتا ہے کہ:
1126,اے کہ تو بہبود ملت کے لئے دیوانہ ہے
1127,اسد ابن اثیر جلد 205 المیزان پبلیکیشنز لاہور
1128,یہ نہ سوچو کہ ابھی عمر پڑی ہے یارو
1129,یہ جذبہ یاد ماضی کی عین ضد ہے۔
1130,جی جی آپ سب کا بہت بہت شکریہ
1131,آپ سلجھے شخص ہیں لیکن تحریر الجھی ہوئی ہے
1132,اس کا مطلب ھے مجھے محنت کی ضرورت نہیں
1133,انہں 1966ء میں تمغا حسن کارکردگی دیا گیا۔
1134,پوتا: علی اکبر میدان کربلا میں شہید ہوئے
1135,کیونکہ ان کو روشنی سے سخت نفرت ہے۔
1136,پاپا جی جرم ہوتا تو بند نہ ہوتا
1137,وہ ڈینیس کی طرف رغبت کا اظہار کرتا ہے۔
1138,دفع ہو رات ہمارا تو یار ہے سورج
1139,اب تیری یاد سے وحشت نہیں ہوتی مجھ کو
1140,تم امیج کو ورچوئل ڈرائیو میں کیوں نہیں کر لیتے
1141,سایہ ہوا سے پوچھ رہا تھا کدھر گیا
1142,اور وہاں کونسی آئی ڈی اور پاسورڈ دینا ہوگا
1143,یوں راستہ چلے ہے بدن کو سمیٹ کر
1144,پڑا ہے بڑا پیچ پھر دل لگی میں
1145,وجود زن سے ہے تصویر کائنات میں رنگ
1146,میں اپنی ذات میں نیلام ہو رہا ہوں قتیل
1147,گر روشنی یہی ہے تو اے بدنصیب شہر
1148,بونیر : خود کش حملے میں چھ ہلاک
1149,بیشتر صنعتیں شہر کے مشرق میں واقع ہیں۔
1150,نیپچون کے اب تک 14 معلوم چاند ہیں۔
1151,وہ حادثہ تھا کہ اندر سے ہوگیا ہوں خنجر
1152,ممکن ہے میں روا روی میں لکھ گیا ہوں
1153,ہم تو یہ دھیان میں لاتے ہوئے مرجاتے ہیں
1154,نشاں یہی ہے زمانے میں زندہ قوموں کا
1155,ہونے لگے ہیں ضبط کے موسم سبھی تمام
1156,کہتے احمد ہی مجھے بھی ہیں خواص اور عوام
1157,تا نہ ہو لبریز ساغر بے صدا ہوتا نہیں
1158,مارا ہے ایسا منہ پہ طمانچہ حسین نے
1159,یہ نہ معلوم تھی اس عشق کی افتاد مجھے
1160,ہزار بار خود اپنے مکاں پہ دستک دی
1161,اس لیے یہ ڈبہ ٹرین سے کاٹ دیا گیا
1162,ہائپوکلوراڈ یا ہائپوبرومایٹ بلیچگ سے بھی اکسیجن ملتا ہے۔
1163,بعد میں فلسفے کے شعبے میں چلے گئے۔
1164,اس بار جو قاصد ہے مرا اس پہ یقیں ہے
1165,اسلام اور جدیدیت: سرمایہ دارانہ نظام کا منتخب
1166,رہتا سخن سے نام قیامت تلک ہے ذوق
1167,وگر نہ دل تو اسے روکنا ہی چاہتا ہے
1168,یہ دن بھی اب بسر کرنا پڑے گا
1169,سرخ پتلون کے ساتھ فائٹر کے طور پر گیین پیکر
1170,بے مہر دھوپ اور ہے مانگے کی بود و باش
1171,علامہ جلالالدین سیوطی کی علم نحو پر مشتمل کتابپر
1172,اشکوں سے دل میں آگ لگاتا رہا ہوں میں
1173,گائے رکھنے کا تردد ہم سے ہو سکتا نہیں
1174,ہو سکتا ھے کوئی انتظار نہ کر سکتا ہو
1175,ان کو ہی کوئی مشورہ دیتی رہا کرو
1176,اس امر کی تائید اس ارشاد سے بھی ہوتی ہے
1177,میر صاحب کی طرح میں بھی گناہ گار ہوا
1178,محبت کی جو باتیں تم یہاں پرچار کرتے ہو
1179,چنانچہ آپ کو لیکر گنگوہ روانہ ہو گئے۔
1180,وابستگی یا تعلق کی موت اپنی موت ہے
1181,ٹیکسلہ کے راجا امبھی نے سکندر کی اطاعت تھی۔
1182,مجاز جسکو اجازہ دیا جاتا ہے یا دیا گیا ہو
1183,ویسے میرا تو کھانا کمانا ہی اسی سے ہے
1184,"""سائنس اور سوشل سائنسز """" جاہلانہ علمیت """""""
1185,آپ کی اتنی بڑی زبان کیوں نکل آئی
1186,اس کی وجہ شاید موسمی تبدیلیوں میں ہو۔
1187,اب امین بھیا کا کچھ تو اثر آنا ہے
1188,موسم کا احترام نہ کرتے تو ظلم تھا
1189,اور آفریدی تو ان سے بھی زیادہ گمراہ ہیں -
1190,میں ایک سے کسی موسم میں رہ نہیں سکتا
1191,ان کے اجداد گھوڑوں کا کاروبار کیا کرتے تھے۔
1192,اس طریقہ علاج سے یاداشت جاتی رہتی ہے۔
1193,لطف ' سہ ' بالا ہو گیا حضور
1194,میں آپ سے کیوں ناراض ہونے لگا بھلا
1195,ان میں بعض ڈستی کلہاڑے کی شکل کے ہیں۔
1196,بالکل آپ میرے ٹیسٹ کو پسند کرنے والے ہیں
1197,یہ کس کے ہوئے ہیں اور کس کے ہوں گے
1198,ان کی اکثریت اٹلی اور سپین سے آئی تھی۔
1199,یا ہمیشہ ہمیشہ کے لیے کھو دیں گے۔
1200,وقت کا کیا ہے گزرتا ہے گزر جائے گا
1201,2013ء کے عام انتخابات میں وہ حلقہ ایناے۔
1202,ٹیگ : اقبال ، شاعری ، علامہ اقبال
1203,ایسا ہی رواج میسوپوٹیمیا میں بھی رواج تھا
1204,کوائف نامے پر فرحت کیانی کے مراسلے پر تبصرے
1205,انہونی کوئی ہو گی یہ ڈر کیوں نہیں جاتا
1206,حمد و لیے ہے تو قائم رکھنے والا ہے۔
1207,شروع ہی سے سیاست میں سرگرمی سے حصہ لیا۔
1208,چلیں پھر ایک کیا اور دو کیا منتظر ہوں
1209,حرم کے دل میں سوز آرزو پیدا نہیں ہوتا
1210,دیکھیں گے اور پھر انہیں دیکھے ہی جائیں گے
1211,کچھ نہیں ہو گا اگر خال چلا جائے گا
1212,یوسف رضا گیلانی - سابقہ وزیر اعظم پاکستان
1213,ہم کو اس درد کی آواز سے کیا کرنا ہے
1214,اسپین اور فرانس نو جنگوں میں اتحادی رہے۔
1215,کان کھینچ کھینچ کر لمبے کرنے ہیں بس
1216,عجب نہیں کہ خدا تک تری رسائی ہو
1217,یہ کیا کہ ایک طور سے گزرے تمام عمر
1218,آپکے سر کی قسم داغ کو پرواہ بھی نہیں
1219,چند لڑکیوں کے پیچھے دس دس ہزار لڑکے
1220,لگتا ہے الیکشن کا اثر گیا نہیں ابھی تک
1221,منسوب ہر چراغ ہے نور الہدی کے ساتھ
1222,جہاں میں ہوں وہاں کوئی کسی سے کم نہیں
1223,کیوں آپ کی خوشی کو مرا غم کرے اداس
1224,ایک دن کے لیے اپنا رخ موڑ لے
1225,ہے چرچا جابجا حضرت عمر رضی اللہ عنہ کا
1226,یہ رہی جی بی یو پر میری پوسٹ
1227,اردو کی دنیا میں کیا برپا اک انقلاب
1228,عروج پر ہے مرا درد ان دنوں ناصر
1229,جنسی زیادتی : اپنے بچے پر نظر رکھئے
1230,حقانی نیٹ ورک کا شدت پسندی کا مینوئل جاری
1231,ہمارے دل کی رگیں سرد ہونے لگتی ہیں
1232,بہت شکریہ ۔ ہم منتظر رہیں گے ۔
1233,اور انہیں کوٹ لکھپت جیل سے رہا کر دیا گیا
1234,میں آیا ہوں سنانے غم سرد آہوں میں
1235,مسقطی ڈائری کے ویبسائٹ پر مسقطی کے بارے میں۔
1236,مرے مزاج میں تھا کیا سوائے وحشت کے
1237,جو بے شعور ہوں یوں باتمیز بن بیٹھیں
1238,پرنٹ میکنگ سونگ بادشاہت کے دوران پروان چڑھی۔
1239,حرم ناز و ادا تجھ سے بچھڑنے والے
1240,اس کے بعد ان کا سیاسی سفر شروع ہوا۔
1241,ماں کی دعا نصیب ہو تو بیڑا پار ہے
1242,اسلام آباد میں 20 کا مل جائے تو غنیمت ہے
1243,خود ہی شادی کا شوق تھا تجھ کو
1244,یہ سوفٹ وئیر ڈاون لوڈ کر لیا ہے میں نے
1245,نہ ہو جب فرق ہی تو راہ کیوں ہو
1246,بیٹا: عبداللہ ابن علی کربلا میں شہید ہوئے
1247,میں اپنی حیدرآباد والی سہیلی کو مس کررہی ہوں
1248,بے پردہ جب کچھ بی بیاں آئیں نظر
1249,پر لگتا ہے انہیں ہوائوں میں اڑنے کا شوق ہے
1250,ویسے اگر کہہ دیتیں تو بہت اچھا لگتا
1251,کان سے تو مجھے ہرگز نہ اتارا کرتی
1252,قافلہ بن کر گزرتے ہیں نگہ کے سامنے
1253,اس کے بعد توبہ کر لی کبھی نہیں پالے
1254,ہر گھڑی درد کی پیوند لگے جاتے ہیں
1255,بیشک ہم نے معرب شدہ قرآن اتارا کہ تم سمجھو
1256,وہ بھی خوب جگہ ہے ہمارے گھر کی طرح
1257,ٹیگ : اسلام ، مذہب ، دین ، احکام
1258,دل کو اب دامن صحرائے جنوں یاد آیا
1259,عاشق ہیں سب اس کے جو ہے کونین کا والی
1260,پیدائشی طور پر تعلق حیدرآباد، دکن سے تھا۔
1261,پی پی اور بی بی کی سیکریٹری تھی شاید
1262,ہم بھی گھرمیں ٹھہریں گے آج شام سوچیں گے
1263,اس کا پیشرو ایڈورڈ ہفتم اور جانشیں ایڈورڈ ہشتم تھا۔
1264,ایک پل کو بھی نہیں وصل کا موسم دیکھا
1265,جشن عید الفطر مسلمانوں کی شوکت کا مظہر
1266,تو گویا جاسوسوں کی بھی جاسوسی ہوتی ہے ہوشیار باش
1267,دل میں دیکھا کیے ہم اس کا اثر چوتھائی
1268,جن لوگوں نے کہا کہ اللہ ہمارا رب ہے
1269,زبلون کے فرقہ میں سے جدی ایل بن سودی
1270,عمران ظہور غازی / مارچ 21 ، 2013
1271,میرا خیال ہے انٹر نیٹ ہی بہتر رہے گا
1272,یہ تو اس کلاس کی حرکتوں کی وجہ پڑا ہے
1273,نزلہ حار میں ہے اور تریاقی اثر رکھتا ہے۔
1274,تحصیل دشت بلوچستان کے ضلع کیچ کی ایک تحصیل ہے۔
1275,تحصیل قلات بلوچستان کے ضلع قلات کی ایک تحصیل ہے۔
1276,تحصیل پاروم بلوچستان کے ضلع پنجگور کی ایک تحصیل ہے۔
1277,تحصیل زیارت بلوچستان کے ضلع زیارت کی ایک تحصیل ہے۔
1278,ضروری نہیں موسم ایک سا ہو پورے سال
1279,فوجی حل درکار ہے یا پھر سیاسی حل
1280,علم قرات والی مسجد خانیوال سے حاصل کیا۔
1281,محمد رفیع ایک خوبصورت آواز کے مالک گلوکار
1282,نصیب آج ھاتھ میں ان کا جام آیا ھے
1283,وہ چودہ مقام جن پر سجدہ واجب ہے۔
1284,اور آپ کے آجانے سے محفل پہ ہے رونق چھائی
1285,بہرحال آپ کے سوال کا شافی جواب یہاں ہے
1286,برقی کتب خانہ بنائیں رعب کے لیئے بھی اب
1287,جڑے ہیں ان سے نادیدہ پرانے بام و دروازے
1288,دیں پر نہ آنچ آنے دی شبیر نے اثر
1289,پارشو کے پروکاروں کا ذکر گرنتھوں میں ملتا ہے۔
1290,خدا وطن میں ہمارے کرے نفاذ اس کا
1291,باقی چاہے جتنی ہی خامیاں ہیں ہم میں
1292,کسی کو آج تک خبر بھی نہ ہوئی؟
1293,حضرت کی صداقت کی عالم نے گواہی دی
1294,ٹیگ : شاعر کی سائیکل ، امجد علی راجا
1295,حکومت کے میں آکر ملازمت سے استعفی دیا۔
1296,کتنا مشکل ہے ترے شہر سے ہجرت کرنا
1297,تو جنگلوں کی طرح آگ مجھ میں پھیل گئی
1298,باغ میں اس کی رفاقت آسمان شب تلے
1299,چودہویں باب اولاد ابوالفضل عباس بن حضرت علیع
1300,بتا رہی ہیں وہ آنکھیں کہ رات سویا نہیں
1301,پھر تو مبارک ہو آپکو الف نظامی بھائی
1302,جب بے نظیر وزیر اعظم تھی تو اس وقت
1303,برگ میں ہر نخل کے سرخی ہے جوں برگ حنا
1304,جس شخص نے کہ اپنے نخوت کے بل کو توڑا
1305,کہ شب و روز پنجرے میں بانٹے جاتے ہیں
1306,میں نے ہر حال میں ہنسنے کی قسم کھائی ہے
1307,کہاں ہے اب وہ دور غزنوی کی فارغ البالی
1308,آنسوئوں کا ظالم پہ کچھ اثر نہیں ہوگا
1309,اور بار بار کہنے سے کوئی فائدہ نہیں ہے
1310,شور کر اور بہت خاک اڑا اور بہت
1311,اس کی ثقافت چھ ہزار سال پرانی ہے۔
1312,پھر بھی اونچائی سے اتر نا مت بھولو
1313,یہ قابل ذکر افغانستانی شخصیات کی فہرست ہے۔
1314,جی یہ پی ٹی ائی کا قصور نہیں ہے
1315,ایران تعلقات میں مزید خرابی کا باعث بنا
1316,یہ کام تو ذاتی پیغامات میں بھی کیا جاسکتا ہے
1317,یہ فاصلے بھی عجب کچھ فریب دیتے ہیں
1318,ٹھیک ھے ٹھیک ھے جناب ہم لوگ ہی ٹھہرے
1319,کیا کیا نہ عکس تیر رہے تھے سراب میں
1320,گھول دے روح کے ساگر میں سکوں کا امرت
1321,ہم تم کو اور ان کو رزق دیتے ہیں
1322,جوابات ذرا کفیل کی حاضری دینے کے بعد
1323,اس کا مشاہدہ شعاع اللہ علائی نے کیا تھا۔
1324,مرضی ہو تو سولی پہ چڑھانا یا رب
1325,بھئی یہاں کیا ہورہا ہے ہماری غیر حاضری میں
1326,اصغر و اکبر و عباس و سکینہ کے طفیل
1327,بن تابعی سات فقہائے مدینہ میں سے ایک۔
1328,اللہ کا جتنا شکر ادا کروں کم ہے
1329,انہوں نے اسلام کے حوالے سے کافی کام کیا۔
1330,بس اپنے ڈیٹا کی طرف سے محتاط رہیئے گا
1331,مجھے آدم خوروں سے بہت ڈر لگتا ہے
1332,دعا اور مظلوم کی بدعا کبھی رائیگاں نہیں جاتیں
1333,مجھے غسل دینے مئے سے مجھے جام سے نہلانا
1334,کیا ہو گا کیسے ہوگا - 2،434 بار
1335,بستی تو کوئی راہ میں غارت نہیں دیکھی
1336,زندگی کا نہیں اتنا فارغ ٹائم ہونے کا
1337,میں نے تالا توڑ کر دوسرا ڈال دیا ہے
1338,تمباکو و قوام تو مناسب نہیں آپ کے لیے
1339,نقشوں میں اس کا مقام بائیں طرف ہوتا ہے۔
1340,حکومت نے کمیٹی کی تمام سفارشیں قبول کر لیں۔
1341,جنوں کے بھیس میں یا آدمی کے بھیس میں آئے
1342,خلعت فاخرہ انہوں نے اپنے لئے چھپا رکھی ہے
1343,عمر کی طرف سے نہاوند کے گورنر تھے،۔
1344,کلپنا موہن لاطینی ایک بھارتی فلمی اداکارہ ہے
1345,بادشاہوں نے اپنی رعایا کو متعدد طبقات میں تقسیم کردیا
1346,گلشن مین حسن کو مین گرنے سے سنبھالا ہے
1347,گھنے پیڑوں کی میں جہاں وہ چاند رہتا تھا
1348,اس وقت وہ دائیاں بھی نہیں لے رہی تھیں ۔
1349,ویسے اس کی بچپن کی کوئی بھی چھیڑ نہیں ہے
1350,زاد راہ کی صورت ادب و علم کی زنبیل
1351,فہیم کوئی نئی نہیں ہے اور نا ہی تازہ
1352,""""""" فلسطین میں ہا ہا کار مچی ہوئی ہے"""
1353,مجھ کو معلوم تھا ظلمت کا فسوں طاری ہے
1354,- راما اول تھائلینڈ کے بادشاہ بن گئے۔
1355,خوش بھی نہیں ہوئی وہ خفا بھی نہیں لگی
1356,کسی لباس کی خوشبو جب اڑ کے آتی ہے
1357,کہہ رہا تھا اگر مصباح کھیلا تو انگلینڈ جیت جائےگا
1358,پھربھی اللہ آپ کے علم وعمل میں برکت دے
1359,میں نے آپ کی تعریف کر دی ہے کھوکھر جی
1360,دل کی گہرائیوں سے آپکو خوش آمدید کہتا ہوں
1361,مین اپنے یہاں سے بات کر رہی ہوں نا
1362,یادو کی اولاد سے کرشن جی اور بلرام تھے۔
1363,1907ء میں ٹرانسوال کا وزیر اعظم مقرر ہوا۔
1364,مسلم خان کی بیوقوفی کا اس بات سے اندازہ لگائیں
1365,وہ مگر اپنی انا میں رہا جلتا برسوں
1366,شکر ہے میں ریال والے وطن سے دور ہوں
1367,بڑی سرکار میں پہنچے مقدر یاوری پر ہے
1368,انڈیا نے اپنی پہلی اننگ میں 279 رنز بنائے
1369,پیشے کے لحاظ سے وہ ماہر زراعت ہیں۔
1370,یہ واحد چیز ہے جس کو لینے میں فائدہ ہے
1371,باب نمبر 2 مانعین کے دلائل کا تجزیہ
1372,میں تو مقتل میں بھی قسمت کا سکندر نکلا
1373,لیکن پاکستانیوں کو ڈھیر ہوتے دیر بھی نہیں لگتی
1374,سوال کا بھی کوئی ٹائم ہوا کرتا ہے کیا
1375,تو بہاروں کا ہے عنوان تجھے چاہوں گا
1376,محب سے یہی سوال میں نے بھی کیا تھا
1377,ان کا ناول آزاد اردو کا ایک شاہکار ہے۔
1378,میں لمبا سا شکریہ ادا کر دیتا ہوں
1379,ان سے ان کے رفقا ہی خاص متاثر نہیں ہوئے
1380,مجمع کو منتشر کرنا پڑا تو کیا کرو گے
1381,فوجی بغاوت اگست 1975ء کے بعد رہا ہوئے۔
1382,کلام تازہ ہو تو دوسری فورم فراہم ہے
1383,کہ خبر جگ میں پڑوسی کی وہ کر آئی تھی
1384,""""""" نہیں انہیں کتوں سے ہمیشہ نفرت رہی ہے """""""
1385,تم رہو خوش ہم تو اپنے گھر چلے
1386,کراچی سے بذریعہ اسٹیمر یہ سفر ہوا تھا۔
1387,باپ کی کمائی بیٹا آسانی سے خرچ کرتا ہے
1388,ٹوک دیا مجھے آپ نے چلیں اب نہیں کہتی
1389,100ھ میں وہ مکہ مکرمہ میں موجود تھے۔
1390,سعودی حکومت کا غیر ملکی کارکنوں کو انتباہ
1391,بولیویا کا ملک بھی اسی کے نام سے موسوم ہے۔
