,estimate
ایک عظیم جاں نثار ایک شہید ہوتا ہے جس نے بہت زیادہ تکلیف برداشت کی ہوتیں ہیں۔,4.132934239051387e-41
ہندو صرف وشنو اور شو کی پوجا کرتے ہیں۔,2.0775130947644742e-22
ٹیسٹ کیریئر کے آغاز سے قبل آپ فرسٹ کلاس کرکٹ میں 15313 رنز بنا چکے تھے۔,8.825153980596966e-39
"""انہوں نے ایک اور کتاب """"محوالموھوم"""" لکھی اور اس کو اپنے شاگرد """"مستعان"""" کے نام سے شائع کیا۔""",1.942227296513094e-43
طاہرہ مشہور فارسی شاعرہ، علی محمد باب کی سترہویں حروف حی اور بہائی مذہب کی مبلغہ تھیں۔,4.132934239051387e-41
نہادند نام/جہانی از آن شارستان,6.100363394219132e-13
لیکن جدید فلوٹننگ گیٹ ٹرانسسٹروں میں ایک ہی ٹرانسسٹر میں کئی محفوظ کیے جا سکتے ہیں۔,8.825153980596966e-39
اس وقت امریکی عوام کو سونا رکھنے کی اجازت نہیں تھی۔,4.208466538339374e-27
میں نے عرض کیا یا رسول اللہ تو پھر ہم کس کی روشنی میں دیکھیں گے نبی صلیاللہ علیہ و آلہ وسلم نے فرمایا اپنی اسی بینائی کی روشنی میں تمہارے پاس ہے اس وقت سورج طلوع نہیں ہوا تھا ایک ایسے دن میں جب زمین پر روشنی ہو اور پہاڑ نظر آ رہے ہوں میں نے پوچھا یا رسول اللہ ہمیں نیکیوں اور گناہوں کا بدلہ کس طرح دیا جائے گا نبی صلیاللہ علیہ و آلہ وسلم نے فرمایا ایک نیکی کا بدلہ دس گنا ثواب اور ایک گناہ کا اسی کے برابر وبال ہوگا الا یہ کہ وہ معاف فرما دے میں نے پوچھا یا رسول اللہ جنت اور جہنم کے بارے میں کچھ بتائیے نبی صلیاللہ علیہ و آلہ وسلم نے فرمایا جہنم کے سات دروازے ہیں اور ہر دو دروازوں کے درمیان اتنا فاصلہ ہے کہ سوار ان دونوں کے درمیان ستر سال تک چلتا رہے اور جنت کے آٹھ دروازے ہیں اور ہر دو دروازوں کے درمیان اتنا فاصلہ ہے کہ سوار ان دونوں کے درمیان ستر سال تک چلتا رہے۔,0.0
یہ سلطنت عثمانیہ میں تقریبا اسی سرکاری حیثیت کے لیے استعمال کیا جانے والا ایک خطاب تھا۔,4.132934239051387e-41
انڈونیشیا کا ایک صوبہ-,1.5325003319145408e-10
دیمک روشنی سے نفرت کرتی ہے۔,2.5295286488234307e-15
شیدیوں کے آبا و اجداد افریقہ سے پاکستان اور بھارتی ریاست گجرات آکر آباد ہوئے۔,1.8918464009445433e-36
برکلے، میساچوسٹس,1.2379419743730079e-05
50 سال تک دہلی میں مصروف تدریس و تالیف رہے۔,9.303608385382194e-25
محمد حسنین ایک نامور ترجمہ نگار ہیں۔,1.0788422720903528e-17
تب اسے محسوس ہوا کہ وہ طویل میراتھن بھی دوڑ سکتا ہے۔,1.919554555565547e-29
انیس سو پچاسی کے غیر جماعتی انتخاب میں بھی وہ کامیاب ہوئے لیکن بعد میں انیس سو اسی کے انتخابات میں کامیابی حاصل نہ,2.2108138150756243e-57
اس کا صدر دفتر چنائی میں ہے۔,1.0788422720903528e-17
گنتی میں اسے دو ہزار نو سو چوہتر یا انتیس سو چوہتر بولا جاتا ہے۔,1.8918464009445433e-36
ان کی مشہور تصنیفات یہ ہیں:,2.5295286488234307e-15
جنوبی ٹرمینل,1.2379419743730079e-05
فن کے پیش نظر تجسس اور جستجو کے عناصر بھی کہانی کے لیے انتہائی ہیں۔,1.8918464009445433e-36
کرم خور لگڑبھگا,4.106522169121895e-08
رقیہ بنت ہاشم۔,4.106522169121895e-08
"""دنیا"""" کے سب زیادہ زیارتی مقدس """"مقامات""""،"""" سفر اور فرصت، جنوری 2012ء""",1.919554555565547e-29
درمیانی سنگی دور قدیم انسانی تاریخ میں زمانہ پتھر کے وسطی دور کو کہتے ہیں جو پالیولتھک اور نیولتھک ادوار کے درمیان تھا۔,4.63628829243993e-55
اشرف اردو، فارسی اور انگریزی میں لکتھے ہیں۔,4.697114534636355e-20
مضمون برائے اہم ادبی شخصیات,6.100363394219132e-13
جوانی میں ماموں نے فوجی ملازمت کے لیے کوشش کی، لیکن شاہ صاحب دنیا سے دل برداشتہ ہو کر حضرت مجدد الف ثانی کے خلیفہ سید آدم بنوری کی خدمت میں حاضر ہوئے اور بیعت کے بعد بہت جلد ہی خلافت و نیابت سے سر فراز ہوئے۔,1.2038262882114041e-110
اس کی بیماری نے آہستہ آہستہ اس کے ہاتھ، پیر اور زبان کو مفلوج کر دیا۔,8.825153980596966e-39
تو اب اگر کوئی ایسا اختیار کیا جاوے کہ جو اس بڑھی ہوئی سرطانی وراثے کی تعبیر کو کم کر سکتا ہو تو اس کو معالجاتی تحویر وراثہ کہا جاتا ہے۔,1.2925808358173066e-73
ہندومت میں شمشان گھاٹ یا شمشان وہ جہاں مردوں کو جلایا جاتا ہے۔,8.816647866323124e-32
فہرست چاڈ کے دریا,1.5325003319145408e-10
اس کے علاوہ محمود نے جاگیرداری نظام پر بھی پابندیاں لگائیں اور یہ حکم جاری کیا کہ کوئی شخص مقدمے کے بغیر قتل نہ کیا جائے۔,5.0526631739183935e-62
قربانی کی کھالوں کی ملک گیر مہم,1.0788422720903528e-17
صحرا میں کنول۔ ناول,1.5325003319145408e-10
ان کا اصل نام احمد بن محمد بن عبداللہ بن ابی بزۃ المکی ابوالحسن ہے۔,1.8918464009445433e-36
تاہم ماجھا کا لوک رقص بھنگڑا کی ابتدا سیالکوٹ میں ہوئی اور گوجرانوالہ، شیخوپور، گجرات پنجاب کے اور گرداسپور پنجاب کا میں رائج ہوا۔,2.2108138150756243e-57
بال بچے در بدر ہوئے۔,6.100363394219132e-13
الکافی نامی کتب کئی ہیں اس سے مراد ہو سکتی ہے :,1.919554555565547e-29
بی مصری صاحبہ کا امام باڑہ اکبر سے کربلا کی,9.303608385382194e-25
جلالی کلنڈر عرفی سال کو فطری سال کے ساتھ تطبیق کرنے میں کامیاب ہو گیا۔,1.8918464009445433e-36
وہ شادی بیاہ کے خلاف تھی۔,2.5295286488234307e-15
لیکن یہ یقینی ہے کہ وہ دن بھر کی آوارہ خرامی کے بعد رات کو دریا کے کنارے درختوں پر یا دیگر اونچے ٹھکانوں پر قیام کرتا ہوگا۔,1.1616249961386989e-66
ڈاکٹر معینالدین، عہد قدیم اور سلطنت 153,1.0788422720903528e-17
اس نے اپنے ہمسایہ راجپوت حکمرانوں کے ساتھ کئی جنگیں لڑیں۔,4.208466538339374e-27
روایت میں اتنا محتاط تھے کہ احادیث کو ان کے اپنے الفاظ سے روایت کرتے تھے تنہا معنی بیان کرنا کافی نہ سمجھتے تھے۔,2.2108138150756243e-57
باغ، افغانستان,1.2379419743730079e-05
اس صوبے میں اضلاع کی تعداد 11 ہے جن میں بلدیات کی کل تعداد 28 ہے۔,8.825153980596966e-39
1900ء میں ایرئیل کا خاندان روس سے یورپ منتقل ہوا۔,9.303608385382194e-25
چکوال میں پہاڑی سلسلہ کے ساتھ ساتھ ایک بارانی علاقہ ہے اس لیے یہاں پر کاشتکاری میں بارش کا بہت زیادہ عمل دخل ہے۔,2.2108138150756243e-57
اور نہ ہی اس چیز نے کثرت تصنیف و تالیف سے روکا۔,1.919554555565547e-29
شہروں سے باہر اسلامی روایات مقامی ترک قبائلی روایات اور عقائد سے ملی ہوئی ہیں۔,1.8918464009445433e-36
امویوں کو شکست دینے کے بعد ابومسلم نے عباسیوں کو خلافت سونپ دی مگر دوسرے عباسی خلیفہ منصور نے اسے قتل کرادیا۔,9.74115483237776e-53
انہوںنے یونیورسٹی سے ایماے اور ایلایلبی کیا اور پھر علیگڑھ مسلم یونیورسٹی سے 1959ء میں پیایچڈی کی ڈگری حاصل کی۔,4.3278564494278774e-48
یہ شہر میں چند پانی والے تفریحی پارکس میں سے ایک ہے۔,1.919554555565547e-29
بیبیسی کھیل۔,1.2379419743730079e-05
فہرست جمہوریہ آئرلینڈ کے دریا,6.100363394219132e-13
عموما لوگ مسجد عائشہ سے احرام باندھ لیتے ہیں جہاں حجاج کا پہنچنا نسبتا آسان ہوتا ہے اور شرعا اس میں کوئی عار بھی نہیں ہے لیکن اس کی وجہ سے لوگ جعرانہ والی حدود حرم کی زیارت سے محروم رہتے ہیں-,4.416585880265894e-99
اور 31 اکتوبر 1984ء کو اندرا گاندھی کو ان کے سکھ محافظ ستونت سنگھ اور بینت سنگھ بینت سنگھ نے قتل کر دیا۔,4.63628829243993e-55
سچا سوا ریلوے اسٹیشن پاکستان میں واقع ہے۔,4.697114534636355e-20
یہاں پر آپ نے اپنے پہلے معجزے سے اپنی قدرت اور اختیار کا مظاہرہ کیا۔,1.8918464009445433e-36
ایک ٹوٹا ہوا زینہ بھی ملا ہے۔,1.0788422720903528e-17
انور صبح اٹھتے ہی، رشیدہ کو ساتھ لے کر قدیر کے گھر پہنچ گیا۔,4.073652268171762e-34
بل میں بچت ہوتی ہے۔,6.100363394219132e-13
اور کتابیں ان کے آثار ہیں۔,2.5295286488234307e-15
مسلم لیگ نے بھی کرپس مشن کے منصوبے کو اس جواز پر مسترد کر دیا کہ اس میں مسلمانوں کے لیے ایک علاحدہ مملکت کے قیام کے لیے کوئی ٹھوس ضمانت نہیں دی گئی تھی۔,7.017976840846439e-83
پنجاب اور سندھ کے علاوہ بلوچستان میں بھی۔,4.697114534636355e-20
ان کا شمار ان شخصیات میں ہوتا ہے جو مرنے کے بعد بھی دنیا میں بہت زیادہ مقبول ہیں۔,9.155542854880783e-46
جزایر دواخیل,1.2379419743730079e-05
"""دیار بکر میں واقع """"حصن"""" """"کیفا"""" نامی شہر کی طرف نسبت ہے یہ ایک چھوٹا سا قصبہ ہے جسے محرفنام حسنکیف لکھا جاتا ہے آج کل شرناخ کے نام سے موجود ہے۔""",6.230667422499542e-76
کراچی شہری حکومت کی باضابطہ سائٹ,2.5295286488234307e-15
ریاست ہائے متحدہ امریکا منتقل ہونے کے بعد 1977ء میں سعودی عرب میں ماس کیمونی کیشن میں پی ایچ ڈی ٹمپل یونیورسٹی پنسلوانیا کے ذریعے ٹی وی پروگرام پر شروع کی مگر پی ایچ ڈی پروگرام کو مکمل نہیں کیا اور کوئی ڈگری حاصل نہ کی۔,2.4719444500202283e-108
ہم بھی کچھ مجبور ہوئے ہیں,2.5295286488234307e-15
ایک بکتر بند برگیڈ جس میں پونا ہارس تیسری کویلری اور سترویں ڈوگرا رجمنٹ کی نویں بٹالین شامل تھی۔,9.155542854880783e-46
اگر ملزم کی جان بچ جاتی تھی یا اس کے زخم جلد ٹھیک ہو جاتے تھے تو اسے خدا کی طرف سے معصوم کی مدد قرار دیا جاتا تھا۔,5.58073144920859e-69
اگرچہ رگ وید میں پروہت کے لے ے مستمل براہمن مذکر استعمال ہوا ہے۔,4.073652268171762e-34
امام جلالالدین سیوطی: تدریب الراوی، جلد 1 صفحہ 471/472، مطبوعہ سعودی عرب۔,1.919554555565547e-29
خواجہ محمد زبیر بن خواجہ فاروقی بن خواجہمحمد نقشبند ثانی بن خواجہ محمد معصوم بن مجدد الف ثانی۔,1.942227296513094e-43
ان کرداروں میں مرکزی کردار نواب فضیحتا، فیروز، رضیہ، حسنا اور عباسی کے کردار ہیں۔,1.8918464009445433e-36
ابو نصر باہلی نے عہد جاہلیت اور دور اسلام کے بہت سے شعرا کا کلام جمع کر رکھا تھا۔,9.155542854880783e-46
ایسی شادیوں کو بیشتر مغربی ممالک میں قبول کیا گیا ہے، جبکہ بیشتر ایشیائی ممالک میں نہ تو ان رشتوں کو تسلیم کیا جاتا ہے اور نہ ہی شادی کی کوئی قانونی حیثیت ہے۔,1.4518973610673954e-80
مانا جاتا ہے کہ انکے سارے خاندان کے یہ سرپرست بن کر رہا کرتے تھے۔,1.8918464009445433e-36
انہوں نے اپنی ابتدائی تعلیم مشن ہائی اسکول وزیرآباد سے مکمل کی اور گریجویشن علیگڑھ مسلم یونیورسٹی سے کی۔,9.155542854880783e-46
بابا بیر سنگھ نے اپنا ڈیرہ ان سازشوں سے دور ضلع امرتسر کے ایک چھوٹے سے نورنگآباد میں بنا لیا تھا۔,2.0509198587269608e-50
اس تنظیم کا مقصد محبت کرنے مدد کرنا اور انہیں غیرت کے نام پر قتل ہونے سے بچانا ہے۔,9.155542854880783e-46
کچھ عددی نظاموں میں 1875 سے بڑا یا زیادہ اور 1877 سے چھوٹا یا کم ہوتا ہے۔,4.132934239051387e-41
چھانگامانگا جنگل میں جھیل بھی بنائی گئی ہے جہاں سیر تفریخ کرنے والوں کے لیے بے شمار حسین مقامات بنائے گئے ہیں,9.74115483237776e-53
جزائر حوار,1.2379419743730079e-05
جن کا اوپر والا حصہ چپٹا ہے اور نیچے والا حصہ دھار والا ہے۔,4.073652268171762e-34
"""انہوں نے حضور اکرم کا اعلان """"آج"""" کے دن جو شخص صبر و استقامت سے لڑے گا اور پیٹھ پھیر کر نہ بھاگے گا وہ یقینا جنت میں جائے """"گا""""۔""",2.6843121035751166e-71
معذوروں نابینا افراد کی فلاح و بہبود کے لیے خصوصی اقدامات کرنا۔,1.919554555565547e-29
اس ادارے کا مرکزی دفتر سوئٹزرلینڈ کے شہر جنیوا میں قائم ہے۔,1.919554555565547e-29
الیگزینڈریا، الاباما,1.2379419743730079e-05
آپ نے اس انجمن کے توسط سے پورے جموں و کشمیر میں امن و بھائی چارگی کا پرچم لہرایا اور شیعہ و سنی تمام اختلافات کا ازالہ کرکے اسلامناب کی ترویج کی۔,6.230667422499542e-76
وقار اعوان نے کالم نگاری کو اپنا,1.0788422720903528e-17
اور نا ماننے والوں کو مسیحیت کی دعوت دیتے تھے۔,9.303608385382194e-25
ویسے آپ پہلوان کے نام سے مشہور ہیں اور آگے چل کر طباعت اور اشاعت کی دنیا میں بھی پہلوان ثابت ہوئے۔,9.74115483237776e-53
اس فرق کی وجہ سے یہاں میتھین جمی ہوئی نہیں اور اٹھتی ہوئی خلاء میں خارج ہو رہی ہے۔,9.155542854880783e-46
فہرست شاہان عراق,4.106522169121895e-08
سنی حنبلی,1.2379419743730079e-05
میں ایسے جمگھٹے میں گر گیا ہوں,1.0788422720903528e-17
ویرونا اطالیہ کا ایک کمونے، شہر و یونیسکو عالمی ثقافتی ورثہ جو صوبہ ویرونا میں واقع ہے۔,4.132934239051387e-41
1977ء -وزیر اعظم بھٹو کی حکومت ختم کردی گئی۔,2.0775130947644742e-22
سولہویں صدی میں مغل سالار میر باقی نے یہاں ایک مسجد تعمیر کرائی تھی جسے بابری مسجد کہا جاتا تھا۔,4.3278564494278774e-48
تاہم محمد نجیباللہ کے دور اقتدار کے دوران ریاستی خفیہ ایجنسی خاد کے ڈائریکٹر اور پیپلز ڈیموکریٹک پارٹی افغانستان کے جنرل سیکرٹری منتخب ہوئے۔,2.2108138150756243e-57
سونے کی منڈیاں,4.106522169121895e-08
ستارہء دمشق سیدہ سکینہ صفحہ 2,2.5295286488234307e-15
خاندان کی کامیابی کے بعد شوکت حسین رضوی اور نور جہاں ممبئی چلے گئے جہاں رضوی نے اپنی اگلی فلم نوکر کی ہدایات دیں۔,2.2108138150756243e-57
2 فی صد باشندے دوسرے مختلف مذاہب سے تعلق رکھتے ہیں اور 19 فی صد ایسے لوگ ہیں جو اللہ کے وجود کو نہیں مانتے۔,1.056059882381019e-59
ان لوگوں کی وادی کا نام غوی کے معنی گمراہی اور سرکشی نے اس وادی رشد رکھا۔,4.132934239051387e-41
وہ جلد ہی ان کے غیر قانونی ہتھیار ٹریڈنگ کے کاروبار میں سونیا کے باپ اور درجن کے ساتھی ساکینا رنجیٹ کے لیے کام کرتے ہیں۔,5.0526631739183935e-62
اور بخارا کی جماعتوں کی اسماعیلیوں سے رابطہ رکھتے تھے۔,9.303608385382194e-25
اے، کیا۔,1.2379419743730079e-05
وہ ادیب اور ناول نگار بھی ہیں۔,1.0788422720903528e-17
اسقاط حمل فطری طور پر ہو سکتا ہے، جس صورت میں اسے اکثر ناکام حمل کہا جاتا ہے یہ جان بوجھ کر کیا جا سکتا ہے جس کی وجہ سے اسے مصنوعی اسقاط حمل کے طور پر جانا جاتا ہے۔,1.8730341446851815e-94
احمد شاہ ابدالی نے دہلی میں عام اور شیعوں کا بھی قتل عام کیا۔,4.073652268171762e-34
دہلی اور اجمیر کا آخری ہندو راجا جو رائے پتھورا گجر کے نام سے بھی مشہور ہے۔,4.132934239051387e-41
مارچ 1849 کو آخری لڑائی چلیانوالہ میں ہوئی جہاں انگریزوں نے سکھوں کو ہرا کر پنجاب میں سکھ راج کا باقائدہ خاتمہ کر دیا اور پنجاب کو اپنی ہندوستانی سرکار میں شامل کر لیا۔,1.4518973610673954e-80
اس شہر کی سڑکیں کشادہ وطنی کے مشہور دیہات میں چک نمبر 110 بارہ ایل قابل,8.825153980596966e-39
یئنسی شمالی کیرولائنا,4.106522169121895e-08
دفعہ ہفتم - یہود پر اہانت آمیزی یا کھلے عام مسیحیت سے اختلاف کرنے پر پابندی,8.825153980596966e-39
آزادی کے بعد اور 1990ء کی دہائی میں شہر میں تعمیراتی طور پر ایک انقلاب برپا ہوا جس کے نتیجے میں یہاں افریقہ کی بلند ترین عمارات میں سے چند تعمیر ہوئیں۔,6.230667422499542e-76
الیگزا انٹرنیٹ۔,1.2379419743730079e-05
کاہن، قربانی، ذبیحہ، مذبح، نذر، خون، چربی، مقدس، راستبازی، گناہ وغیرہ بعض ایسے الفاظ ہیں جو اس کتاب میں بکثرت استعمال کیے گئے ہیں۔,2.2108138150756243e-57
محمد امین نصیر آبادی محمدیہ اور سلسلہ احسنیہ مجددیہ کے کبار مشائخ میں سے تھے۔,1.8918464009445433e-36
جو ایک مسلمان مناظر تھے۔,6.100363394219132e-13
پہلا عربی ترجمہ کے نام سے 1415ھ میں مدرسہ صولتیہ مکہ مکرمہ کے استاد سعید احمد عنایت اللہ نے کیا جو مکتبہ امدادیہ مکہ سے شائع ہوا، اس کے اب تک متعدد ایڈیشن شائع ہیں۔,7.017976840846439e-83
اردو کلام کے چار مجموعے۔,6.100363394219132e-13
چینگ پنگ شادی کے ایک سال بعد بیماری سے چل بسی اور بیجنگ میں گوینگینمن گیٹ کے باہر دفن ہوئی۔,4.3278564494278774e-48
کچھ عددی نظاموں میں 795 سے بڑا یا زیادہ اور 797 سے چھوٹا یا کم ہوتا ہے۔,4.132934239051387e-41
شہنشاہ نے چینگ پنگ کی شادی اس کے والد کی خواہش پر زہو شیان کے ساتھ کروا دی۔,1.942227296513094e-43
لیکن باوجود ساری احتیاط کے فردا فردا جزیرے کے مہمان مرنے لگتے ہیں۔,8.816647866323124e-32
سلطان راہی,1.2379419743730079e-05
تاہم حکومت بہائیوں کو حج کے لیے اسرائیل روانہ ہونے کی اجازت نہیں دیتی۔,4.073652268171762e-34
بابا فخرالدین نام بابا فخرالدین، لیکن ادبی دائرہ میں قمر امینی کے نام سے مشہور ہیں۔,8.825153980596966e-39
"""ساہتیہ"""" اکیڈمی اعزاز """"یافتگان""""۔""",1.5325003319145408e-10
سن 1984 میں انہوں نے آئی ایم ایف اور عالمی بینک سے منسلک گروپ 24 کے اجلاس کی صدارت کی۔,4.3278564494278774e-48
قومی اسمبلی کے لیے انیس سو ستتر کا انتخاب انھوں نے پیپلز پارٹی کے ٹکٹ پر جیتا اور چند ماہ وفاقی وزیر رہے۔,4.63628829243993e-55
دیوی کالی کے کے مندر میں، سونیا اور سراج کی شادی کے لیے مراعات منعقد کی جاتی ہیں۔,1.942227296513094e-43
وہ اس کے لیے قربانی دینے سے بھی دریغ نہیں کرتی۔,4.208466538339374e-27
اس تقریب میں و اطراف کے لاکھوں شیعہ شرکت کرتے ہیں۔,4.208466538339374e-27
شرح الجامع الصغیر,4.106522169121895e-08
"""میری مغفرت فرما دے، مجھے ہدایت دے اور مجھے رزق اور عافیتعطا """"فرما""",8.816647866323124e-32
اور اس سے پہلے گنتی میں اسے تین ہزار تین سو نینیانوے یا تینتیس سو نینیانوے اور اس کے بعد تین ہزار چار سو ایک یا چونتیس سو ایک بولا جاتا ہے۔,6.230667422499542e-76
اسی بحری راستے کو قبضے میں لینے کے لیے انہوں نے حبش کی مسیحی حکومت سے گٹھ جوڑ کیا اور بحری بیڑی سے اس کی مدد کر کے اس کو یمن پر قابض کرا دیا۔,7.017976840846439e-83
ان زاویوں کے بیچ کئی وسیع موضوعات آتے ہیں جن میں تحریکی صلاحیتیں، فیصلہ سازی، اخلاق، زبان کا ادراک، سماجی تبدیلی، شخصیت، جذباتی ترقی، خود کا تصور اور شناخت کی تشکیل شامل ہیں۔,3.0063237715017744e-78
بنی امیہ کا وہ شجرہ خبیثہ جڑیں پکڑ رہا تھا جس کے سایہ میں معاذاللہ جناب سکینہ سلاماللہ علیہا دو دو یا تین تین عقد شہرت دیے جا رہے تھے۔,2.6843121035751166e-71
یہ ان کا وہ ٹھوس کارنامہ ہء جس کا قوم کو تہ دل سے اعتراف ہے۔,8.825153980596966e-39
موسمیاتی تبدیلیوں کی وجہ سے جنوبی نصف کرے پر بادلوں کی مقدار اور چمک بڑھ رہی ہے جس کا پہلی بار 1980 میں مشاہدہ کیا گیا تھا اور چونکہ نیپچون کا موسم 40 زمینی سالوں کے برابر ہوتا ہے، 2020 میں جا کر ختم ہوگا۔,5.078306192159812e-106
کئی صوبوں میں ووڈ لینڈ کیریبو کو شکار، جنگلی بھیڑیوں اور سڑکوں اور کانوں کی تعمیر اور تیل اور گیس کی پائپ لائن بچھائے جانے کے باعث معدومیت کے خطرے سے دوچار ہے۔,3.0063237715017744e-78
"""لیکن ابھی تک انہیں ایفبیآئی اور دیگر قانون نافذ کرنے والے اداروں کے سرکاری خطوط و بیانات میں """"ڈاکٹر"""" """"فائی"""" کہا جاتا ہے۔""",4.63628829243993e-55
ڈاکٹر خلیفہ و ادبی ممتاز اختر مرزا,1.0788422720903528e-17
ادارہ جاتی احتساب پہلے ہی نہ ہونے کے برابر تھا کہ آئین میں کی جانے والی تیرہویں اور چودہویں ترمیم کے ذریعے حکومتی احتساب کی ساری راہیں بھی مسدود کر دی گئیں۔,6.230667422499542e-76
اس کے سویٹزرلینڈ چلا گیا جہاں اس نے لالا ہردیال اور دنیا کے دیگر ممالک، مثلا دکھنی امریکا، جرمنی ، اٹلی، پولینڈ ، روس، مصر اور مراکش کے انقلابیوں کے ساتھ شناسائی پیدا کی۔,1.4518973610673954e-80
انہوں نے کہا: یہ صدیق ہے۔,2.5295286488234307e-15
ایڈن برگ سکاٹ لینڈ میں معاشی سرگرمیوں کا مرکز ہے اور یورپ میں اسے چھٹا نمبر ملا ہوا ہے۔,9.155542854880783e-46
کاروان سرائے وکیل کو راستہ آدی بازار سے جاتا ہے یہ سرائے آج کل سرائے فیل کہلاتی ہے۔,1.942227296513094e-43
سلطان بایزید جنہیں شراب کی بری لت پڑی ہوئی تھی، نے شراب نوشی سے توبہ کرتے ہوئے اللہ سے فتح کی دعا کی اور بالآخر فتح عثمانیوں کا مقدر بنی۔,2.6843121035751166e-71
بدھ مت,1.2379419743730079e-05
ان داستانوں میں یہ عموما مونث ہوتی ہیں اور انسانوں کو آسیب زدہ کرتی ہیں۔,1.8918464009445433e-36
لہذا اس کے ہاں تلمیحاتی نظام مضبوط ہے۔,4.697114534636355e-20
جیسے جیسے معلومات کے پتوں کی مثال میں تاش کے پتے معلومات کی تعداد بڑھتی جائے گی ویسے ہی تقابل بھی بڑھتے جائیں گے۔,2.2108138150756243e-57
"""اس کو """"برٹش"""" انڈین """"گورنمنٹ"""" کہتے تھے۔""",1.0788422720903528e-17
اس کے بعد رانی کو چونکہ ہر وقت اپنے بیٹے کے یاد میں ہوا کرتی اس لیے انند کا نام انند سے دامودر رکھ لیا اور اسے اپنا سگا بیٹا قرار دیا۔,6.230667422499542e-76
میں سر مقتل حدیث زندگی کہتا رہا,1.0788422720903528e-17
جئے دیو گرو گرنتھ میں شامل سب سے قدیم شاعر ہیں۔,4.208466538339374e-27
مورگن فیئرچائلڈ,1.2379419743730079e-05
اس کی ایک مثال تو بدھ ہے۔,1.0788422720903528e-17
آخری مردم شماری 2011ء میں ہقئی تھی۔,1.0788422720903528e-17
پڑھائی ختم کرنے کے بعد آپ اپنے واپس چلے گئے اور اپنی زمینوں اور باغوں کی ترقی میں دلچسپی لینے لگے۔,2.0509198587269608e-50
ان کے کئی کتب کے انگریزی، جرمنی، فرانسیسی، چینی، جاپانی اور دوسری زبانوں میں ترجمے ہو چکے ہیں۔,1.942227296513094e-43
اس کے علاوہ انہوں نے درا اور دیوان غالب کے بھی تراجم کیے۔,8.816647866323124e-32
کرب بدن سے کم نہ ہوئے دل کے فاصلے,2.0775130947644742e-22
بیونس آئرس 1776 کو دار الحکومت کا درجہ ملا۔,2.0775130947644742e-22
یسوع نے ان سے کہا مٹکوں میں پانی بھردو۔,2.0775130947644742e-22
جو برصغیر میں مقبول رہا ہے۔,2.5295286488234307e-15
سب سے بڑی مذہبی اقلیت ہندو ہیں جو ضلع کی کل آبادی کا 19۔93 فیصد ہیں۔,8.825153980596966e-39
بربروں کے حملے کے بارے میں اس سے مشورے کیے۔,9.303608385382194e-25
نوروز بہاری اعتدالین کا دن ہے اور شمالی نصف کرہ میں بہار کے آغاز کی علامت ہے۔,4.132934239051387e-41
"""معنی """"قومی"""" کویتکاقومیترانہ ہے۔""",1.5325003319145408e-10
18 جنوری: نئی دہلی میں کونسل کا افتتاح ہوا۔,2.0775130947644742e-22
برنارڈو ہوسے لاطینی امریکا کے پہلے نوبل انعام یافتہ فرد ہیں۔,4.208466538339374e-27
اخلاقی پولیس گیری کے خلاف 2014ء میں محبت کے بوسے کی مہم شروع ہوئی۔,4.073652268171762e-34
امریکی عسکری مشیر پہلی بار 1950ء کی دہائی میں ویتنام میں ملوث ہوئے جب انہوں نے فرانسیسی نو آبادیاتی افواج کی مدد کا آغاز کیا۔,1.056059882381019e-59
جزیرہ تاروت,1.2379419743730079e-05
ان کی شادی 1842ء میں جھانسی کے راجا گنگا نوالکر سے ہوئی۔,1.919554555565547e-29
اس کی ابتدا انیسویں صدی میں ریاست اودھ اتر پردیش، سے ہوئی۔,1.919554555565547e-29
اسپیشل ایجوکیشن کمپلیکس فار ڈسایبلڈ خالقآباد، قلات ڈویژن,4.697114534636355e-20
مدیران بریطانیکا۔,1.2379419743730079e-05
نیپچون تک آج تک صرف ایک خلائی جہاز وائجر دوم گیا ہے۔,1.919554555565547e-29
سمندر میں ڈوب کر، گولیاں کھا کر آخر کار جزیرے میں صرف ایک لڑکی بچتی ہے۔,8.825153980596966e-39
پروفیسر کے سیکرٹری نے سیاہ پکھراج کو تجوری میں رکھوا دیا۔,4.208466538339374e-27
مسلمانوں کے مختلف عناصرکو حقوق و فرائض کے لحاظ سے مساوی سمجھا جائے گا۔,4.073652268171762e-34
چونکہ عرصہ دراز سے نونہالان و نوجوانان وطن کھیل کود، جسمانی ورزش اور دیگر غیر نصابی سرگرمیوں سے دور ہیں۔,4.3278564494278774e-48
"""مقدس"""" توما رسول علامہ برکتاللہ صفحہ 95""",1.0788422720903528e-17
فقہ وغیرہ علوم اپنے باپ برہان الدین کبیر عبد العزیز سے پڑھے اور اس قدر تحصیل علوم میں کوشش کی کہ خراسان کے علما پر علم و فضل کلام میں فوقیت لے گئے اور آپ کی فضیلت کا موافق و مخالف نے اقرار کیا۔,1.0437910721517152e-103
خود راڈرک بھی میدان سے بھاگ نکلا اور کہا جاتا ہے کہ دریا عبور کرنے کی کوشش کرتا ہوا لہروں کی نذر ہو گیا۔,2.2108138150756243e-57
